shortest path,distance,type,NDepDep,distance_long,NDepArr,QDepDep,angle,QDepArr,other_moving_ac,taxi_time
1916.627527888604,2503.3314096143936,1,0,974.8760264943768,3,0,640.5173116696169,1,4,15.066666666666666
2073.227103424382,2338.084259743016,1,1,974.8760264943768,3,1,610.8831690381818,1,7,8.866666666666667
2642.4744600346025,2871.1646525258884,1,3,974.8760264943768,3,3,728.6985006477767,2,7,17.016666666666666
1116.7158562282448,1320.5540646941608,1,0,709.7835036448448,1,0,325.6037402902734,0,1,8.883333333333333
1165.5475705102426,1807.5475843317488,0,0,575.4407558091866,0,0,604.6165007659101,0,3,5.016666666666667
149.8421483425778,313.7961607379778,0,0,0.0,0,0,70.92899233539451,0,3,11.266666666666667
754.1517425621454,1001.6885120933472,1,0,0.0,0,0,503.8636542822301,0,0,6.75
1119.2900744194426,1710.0111796447486,0,0,575.4407558091866,0,0,557.9171731796462,0,0,3.933333333333333
1066.1136592200448,1276.491388008461,1,0,709.7835036448448,3,0,325.28447043959886,1,4,9.066666666666666
1748.887065417704,1958.1968021193647,1,2,974.8760264943768,0,1,372.13493913585154,1,3,17.0
1521.7484064428927,1787.4455409427542,1,0,974.8760264943768,2,0,324.9800908873522,0,2,17.6
2065.484886848455,2298.436089868316,1,2,974.8760264943768,3,2,482.4269608080989,2,6,11.05
1645.1860450263616,2022.5939916035109,0,0,0.0,0,0,506.3518517227057,0,5,6.05
1360.8031968492696,1537.0633359961942,0,0,0.0,0,0,495.7943428938254,0,2,6.216666666666667
2642.4744600346025,2871.1646525258884,1,1,974.8760264943768,2,0,728.6985006477767,2,5,12.6
1165.5475705102426,1707.3122632128486,0,0,575.4407558091866,0,0,553.8637752986265,0,2,4.2
1165.5475705102426,1793.6111013839486,0,0,575.4407558091866,0,0,684.0158240929884,0,3,3.6
2263.897307164634,2575.5061204938847,1,0,1314.2736708799266,2,0,541.8115528796588,1,5,10.1
1669.7768420437292,2083.5742423439096,0,0,537.6730309197001,0,0,420.7537486160556,0,5,4.833333333333333
928.7977470268496,1378.7049507732052,0,0,0.0,0,0,418.0502534225705,0,4,3.45
1165.5475705102426,1897.08790322964,0,0,575.4407558091866,0,0,797.1906484605922,0,6,4.45
1354.24344035388,1549.6540537600906,1,2,891.6137929142803,2,1,360.7368422650002,3,4,11.283333333333331
531.1394607210391,1119.045193081694,1,0,543.3363431868075,0,0,219.2745593198256,2,0,11.575
