shortest path,distance,type,NDepDep,distance_long,NDepArr,QDepDep,angle,QDepArr,other_moving_ac,taxi_time
1233.6186253090575,1549.2746207462244,1,0,793.0457372249411,1,0,327.0862956038658,0,3,11.45
636.2286563456408,1018.0473879761496,0,0,0.0,0,0,234.34993389438483,0,4,2.7666666666666666
1404.84563736208,1593.7167304457903,1,1,891.6137929142803,0,2,361.0561121156748,4,8,21.116666666666667
1685.8020101994125,1873.436626391496,0,0,537.6730309197001,0,0,373.0243379407361,0,0,3.716666666666667
1403.0215565848362,1560.5374103582617,0,0,0.0,0,0,371.8364675938639,0,9,3.333333333333333
1628.497746754769,2230.1687438627646,1,0,793.0457372249411,1,0,605.0649398442156,1,1,9.95
1199.6034488994912,1497.3758356792002,1,2,1014.0460966443912,1,1,221.1390286229121,1,4,3.4833333333333334
514.3111678925505,739.8132230742112,0,0,0.0,0,0,302.51871593057456,0,12,8.016666666666667
2302.942851038941,2538.4097944006235,1,0,1014.0460966443912,3,0,607.4530497483003,3,3,11.416666666666666
2142.6048494975903,3563.706522389826,1,2,1815.0945728704107,2,2,676.9808666591437,1,4,13.233333333333333
1054.1037882411256,1299.2729298016843,0,0,886.4465447797426,0,0,298.8684475101678,0,1,3.0166666666666666
101.2537122451,653.5672805453642,0,0,0.0,0,0,183.3432998362418,0,2,1.5833333333333333
1695.4444074353046,1910.571330216365,1,0,974.8760264943768,1,0,369.7792916682056,0,1,9.6
2245.768545940102,2443.863264936126,1,2,776.2808037692365,1,2,479.1926431190575,1,4,9.7
2027.1474836812408,2169.070847924641,1,2,1014.0460966443912,0,2,454.22207728212777,0,3,9.916666666666666
1718.5518985451652,2022.6266780421813,0,0,0.0,0,0,549.2541497830998,0,4,5.033333333333333
71.9216445924,205.3151625762,1,3,0.0,2,2,102.84021559266832,1,5,2.283333333333333
2302.942851038941,2489.3453888980234,1,0,1014.0460966443912,0,0,517.0806413907436,0,1,8.516666666666667
1645.186045026362,2126.090790820216,1,0,0.0,1,0,600.9783033191678,0,1,7.45
1620.8937488027616,2063.805197320911,0,0,0.0,0,0,510.9421874702752,0,6,4.1
1036.2092724184497,1493.115598206705,0,0,0.0,0,0,418.0196757156232,0,2,4.783333333333333
2279.731463001046,2452.9618852192457,1,2,1014.0460966443912,1,2,576.0773865883698,0,4,9.45
1572.392429811169,1828.822702520936,1,1,1317.2456923341124,3,0,338.15099020320986,1,5,9.7
2697.1254526851026,3328.6137353050244,1,1,974.8760264943768,0,1,726.7033497339064,0,4,15.733333333333333
